Cement content,Water content,CA content,Sand content,GP content,GP-particle size,Age,Compressive strength
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,56,35.79 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,56,31.91 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,56,30.99 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,56,30.97 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,56,29.30 
350.00 ,175.00 ,1084.00 ,723.00 ,0.00 ,0,56,34.59 
332.50 ,175.00 ,1082.00 ,721.00 ,17.50 ,23,56,36.78 
315.00 ,175.00 ,1080.00 ,720.00 ,35.00 ,23,56,32.19 
298.00 ,175.00 ,1078.00 ,718.00 ,52.00 ,23,56,31.19 
280.00 ,175.00 ,1076.00 ,717.00 ,70.00 ,23,56,29.80 
262.50 ,175.00 ,1074.00 ,716.00 ,87.50 ,23,56,28.59 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,7,36.68 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,7,35.59 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,7,39.08 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,7,36.23 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,7,33.09 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,7,33.02 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,7,36.94 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,7,36.40 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,7,38.37 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,7,36.29 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,7,34.65 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,7,33.00 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,7,35.86 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,7,37.27 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,7,38.08 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,7,36.16 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,7,34.52 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,7,31.78 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,28,44.02 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,28,45.42 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,28,46.90 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,28,40.02 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,28,38.09 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,28,38.00 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,28,44.50 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,28,45.39 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,28,46.00 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,28,39.97 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,28,39.96 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,28,37.96 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,28,44.45 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,28,45.45 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,28,46.45 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,28,40.42 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,28,40.11 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,28,38.29 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,56,46.02 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,56,47.09 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,56,48.23 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,56,43.10 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,56,40.77 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,56,38.89 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,56,45.02 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,56,48.00 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,56,49.19 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,56,43.10 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,56,41.49 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,56,39.73 
450.00 ,157.50 ,1059.00 ,706.00 ,0.00 ,0,56,45.50 
427.50 ,157.50 ,1056.00 ,704.00 ,22.50 ,23,56,49.14 
405.00 ,157.50 ,1054.00 ,703.00 ,45.00 ,23,56,50.13 
382.50 ,157.50 ,1052.00 ,702.00 ,67.50 ,23,56,43.25 
360.00 ,157.50 ,1050.00 ,700.00 ,90.00 ,23,56,41.10 
337.50 ,157.50 ,1048.00 ,698.00 ,112.50 ,23,56,40.58 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,7,31.02 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,7,32.90 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,7,35.03 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,7,29.03 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,7,29.04 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,7,30.81 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,7,31.54 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,7,33.57 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,7,29.50 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,7,28.97 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,7,31.47 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,7,33.06 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,7,34.00 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,7,29.97 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,7,29.83 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,28,33.70 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,28,37.33 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,28,37.00 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,28,33.12 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,28,31.02 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,28,34.01 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,28,37.29 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,28,37.93 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,28,32.84 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,28,31.53 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,28,33.39 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,28,36.08 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,28,38.77 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,28,33.04 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,28,30.75 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,56,35.90 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,56,39.62 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,56,41.52 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,56,34.45 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,56,32.52 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,56,36.06 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,56,38.90 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,56,41.83 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,56,34.60 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,56,32.09 
350.00 ,175.00 ,1073.00 ,716.00 ,17.50 ,23,56,35.98 
350.00 ,175.00 ,1063.00 ,709.00 ,35.00 ,23,56,39.68 
350.00 ,175.00 ,1053.00 ,702.00 ,52.00 ,23,56,39.65 
350.00 ,175.00 ,1042.00 ,695.00 ,70.00 ,23,56,33.70 
350.00 ,175.00 ,1032.00 ,688.00 ,87.50 ,23,56,32.08 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,7,38.94 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,7,39.94 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,7,40.70 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,7,42.68 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,7,40.09 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,7,37.98 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,7,38.93 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,7,40.38 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,7,41.82 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,7,40.50 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,7,38.88 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,7,38.73 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,7,41.02 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,7,40.90 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,7,42.11 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,28,45.90 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,28,46.84 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,28,47.09 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,28,49.92 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,28,47.94 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,28,46.08 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,28,46.99 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,28,48.09 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,28,49.21 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,28,48.03 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,28,45.30 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,28,46.69 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,28,47.32 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,28,48.50 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,28,49.32 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,56,47.21 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,56,48.50 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,56,51.13 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,56,55.06 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,56,52.03 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,56,46.58 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,56,48.62 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,56,49.87 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,56,54.03 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,56,52.17 
450.00 ,157.50 ,1045.00 ,697.00 ,22.50 ,23,56,47.81 
450.00 ,157.50 ,1032.00 ,688.00 ,45.00 ,23,56,49.16 
450.00 ,157.50 ,1019.00 ,679.00 ,67.50 ,23,56,51.70 
450.00 ,157.50 ,1005.00 ,670.00 ,90.00 ,23,56,55.43 
450.00 ,157.50 ,992.00 ,661.00 ,112.50 ,23,56,53.90 
379.11 ,151.64 ,1107.00 ,799.92 ,0.00 ,0,7,26.50 
379.11 ,151.64 ,1107.00 ,641.32 ,143.99 ,300,7,27.80 
379.11 ,151.64 ,1107.00 ,632.51 ,151.98 ,300,7,28.30 
379.11 ,151.64 ,1107.00 ,623.70 ,159.98 ,300,7,29.30 
379.11 ,151.64 ,1107.00 ,614.89 ,167.98 ,300,7,28.50 
379.11 ,151.64 ,1107.00 ,606.08 ,175.98 ,300,7,25.50 
379.11 ,151.64 ,1107.00 ,597.26 ,183.98 ,300,7,24.00 
379.11 ,151.64 ,1107.00 ,588.45 ,191.98 ,300,7,23.80 
379.11 ,151.64 ,1107.00 ,799.92 ,0.00 ,0,28,33.20 
379.11 ,151.64 ,1107.00 ,641.32 ,143.99 ,300,28,35.20 
379.11 ,151.64 ,1107.00 ,632.51 ,151.98 ,300,28,36.00 
379.11 ,151.64 ,1107.00 ,623.70 ,159.98 ,300,28,37.50 
379.11 ,151.64 ,1107.00 ,614.89 ,167.98 ,300,28,36.20 
379.11 ,151.64 ,1107.00 ,606.08 ,175.98 ,300,28,33.90 
379.11 ,151.64 ,1107.00 ,597.26 ,183.98 ,300,28,31.30 
379.11 ,151.64 ,1107.00 ,588.45 ,191.98 ,300,28,30.40 
379.11 ,151.64 ,1107.00 ,799.92 ,0.00 ,0,90,41.40 
379.11 ,151.64 ,1107.00 ,641.32 ,143.99 ,300,90,43.00 
379.11 ,151.64 ,1107.00 ,632.51 ,151.98 ,300,90,45.00 
379.11 ,151.64 ,1107.00 ,623.70 ,159.98 ,300,90,46.50 
379.11 ,151.64 ,1107.00 ,614.89 ,167.98 ,300,90,45.50 
379.11 ,151.64 ,1107.00 ,606.08 ,175.98 ,300,90,39.50 
379.11 ,151.64 ,1107.00 ,597.26 ,183.98 ,300,90,37.30 
379.11 ,151.64 ,1107.00 ,588.45 ,191.98 ,300,90,35.00 
380.00 ,201.00 ,1020.00 ,715.00 ,0.00 ,0,3,26.90 
380.00 ,201.00 ,1020.00 ,643.50 ,71.50 ,600,3,29.10 
380.00 ,201.00 ,1020.00 ,607.75 ,107.25 ,600,3,28.90 
380.00 ,201.00 ,1020.00 ,572.00 ,143.00 ,600,3,27.60 
380.00 ,201.00 ,1020.00 ,715.00 ,0.00 ,0,7,31.50 
380.00 ,201.00 ,1020.00 ,643.50 ,71.50 ,600,7,34.60 
380.00 ,201.00 ,1020.00 ,607.75 ,107.25 ,600,7,32.00 
380.00 ,201.00 ,1020.00 ,572.00 ,143.00 ,600,7,31.70 
380.00 ,201.00 ,1020.00 ,715.00 ,0.00 ,0,14,43.80 
380.00 ,201.00 ,1020.00 ,643.50 ,71.50 ,600,14,39.10 
380.00 ,201.00 ,1020.00 ,607.75 ,107.25 ,600,14,38.30 
380.00 ,201.00 ,1020.00 ,572.00 ,143.00 ,600,14,38.00 
380.00 ,201.00 ,1020.00 ,715.00 ,0.00 ,0,28,44.00 
380.00 ,201.00 ,1020.00 ,643.50 ,71.50 ,600,28,40.30 
380.00 ,201.00 ,1020.00 ,607.75 ,107.25 ,600,28,42.00 
380.00 ,201.00 ,1020.00 ,572.00 ,143.00 ,600,28,45.90 
331.00 ,178.74 ,848.00 ,956.64 ,0.00 ,0,28,48.21 
314.50 ,178.74 ,848.00 ,953.01 ,16.55 ,105,28,45.56 
297.90 ,178.74 ,848.00 ,949.43 ,33.10 ,105,28,41.22 
314.50 ,178.74 ,848.00 ,952.97 ,16.55 ,10,28,46.00 
297.90 ,178.74 ,848.00 ,949.36 ,33.10 ,10,28,43.09 
490.00 ,200.90 ,776.31 ,838.67 ,0.00 ,0,28,58.56 
465.50 ,200.90 ,776.31 ,833.33 ,24.50 ,105,28,59.27 
441.00 ,200.90 ,776.31 ,828.00 ,49.00 ,105,28,56.84 
416.50 ,200.90 ,776.31 ,822.66 ,73.50 ,105,28,55.10 
465.50 ,200.90 ,776.31 ,833.28 ,24.50 ,10,28,61.78 
441.00 ,200.90 ,776.31 ,827.89 ,49.00 ,10,28,55.26 
416.50 ,200.90 ,776.31 ,822.51 ,73.50 ,10,28,53.62 
331.00 ,178.74 ,848.00 ,956.64 ,0.00 ,0,180,53.24 
314.50 ,178.74 ,848.00 ,953.01 ,16.55 ,105,180,51.02 
297.90 ,178.74 ,848.00 ,949.43 ,33.10 ,105,180,50.13 
314.50 ,178.74 ,848.00 ,952.97 ,16.55 ,10,180,53.06 
297.90 ,178.74 ,848.00 ,949.36 ,33.10 ,10,180,54.86 
490.00 ,200.90 ,776.31 ,838.67 ,0.00 ,0,180,64.61 
465.50 ,200.90 ,776.31 ,833.33 ,24.50 ,105,180,63.35 
441.00 ,200.90 ,776.31 ,828.00 ,49.00 ,105,180,67.56 
416.50 ,200.90 ,776.31 ,822.66 ,73.50 ,105,180,65.92 
465.50 ,200.90 ,776.31 ,833.28 ,24.50 ,10,180,64.98 
441.00 ,200.90 ,776.31 ,827.89 ,49.00 ,10,180,66.38 
416.50 ,200.90 ,776.31 ,822.51 ,73.50 ,10,180,65.61 
426.00 ,178.92 ,1128.00 ,713.00 ,0.00 ,0,90,51.04 
426.00 ,178.92 ,1128.00 ,713.00 ,0.00 ,0,28,47.96 
426.00 ,178.92 ,1128.00 ,713.00 ,0.00 ,0,7,42.05 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,0.7,90,51.91 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,1.9632,90,51.00 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,0.7,28,47.47 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,1.9632,28,46.49 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,0.7,7,41.24 
405.00 ,170.10 ,1128.00 ,713.00 ,21.00 ,1.9632,7,40.37 
383.00 ,160.86 ,1128.00 ,713.00 ,43.00 ,0.7,90,54.08 
