Lx_t,Vxy,Fx,Fy,psx*Fyx,psy*Fyy,fc,ln(Vu/fc)
62300,1.0,3.0,0.0,9.18,4.59,23.1,-2.172848771338075
351400,1.0,3.0,0.0,8.772,4.386,24.3,-2.242686951412977
62300,1.0,3.0,0.0,9.18,0.0,20.8,-2.7959360862367726
351400,1.0,3.0,0.0,8.772,0.0,21.0,-2.922304804999174
62300,1.0,0.0,0.0,9.18,9.18,23.2,-1.0498221244986778
62300,1.0,0.0,0.0,9.18,9.135,24.9,-1.0492485655497734
351400,1.0,0.0,0.0,8.772,8.772,23.0,-1.2039728043259361
62300,1.0,0.0,0.0,9.18,0.0,20.9,-2.3770611858955286
351400,1.0,0.0,0.0,8.772,0.0,20.9,-2.762117422372486
240000,1.0,0.0,0.0,16.178,16.178,19.0,-1.0788096613719298
240000,1.0,0.0,0.0,16.178,16.178,30.2,-1.2724927507626917
240000,1.0,0.0,0.0,12.878,12.878,30.8,-1.2734296053039271
240000,1.0,0.0,0.0,10.114,10.114,31.4,-1.3475637239381921
240000,1.0,0.0,0.0,7.984,7.984,34.6,-1.5600973905182507
240000,1.0,0.0,0.0,4.921,4.921,34.6,-1.8139696165537111
240000,1.0,0.0,0.0,17.505,17.505,38.7,-1.170932950247736
240000,1.0,0.0,0.0,17.505,17.505,38.7,-1.1087409299912883
240000,1.0,0.0,0.0,17.505,17.505,41.0,-1.2378743560016172
240000,1.0,0.0,0.0,17.505,17.505,41.0,-1.203972804325936
240000,1.0,0.0,0.0,17.505,17.505,60.7,-1.3859649260979687
240000,1.0,0.0,0.0,17.505,17.505,60.7,-1.3472003826477246
240000,1.0,0.0,0.0,17.505,17.505,79.7,-1.6094379124341005
240000,1.0,0.0,0.0,17.505,17.505,79.7,-1.6094379124341005
249200,1.0,0.0,0.0,2.652,2.652,42.2,-1.5341458075191619
249200,1.0,0.0,0.0,5.51,5.51,41.3,-1.9945308360613871
249200,1.0,0.0,0.0,8.001,7.983,41.7,-1.6448290373742838
249200,1.0,0.0,0.0,14.006,14.006,42.5,-1.276332682360792
249200,1.0,0.0,0.0,5.51,2.67,45.3,-2.3853909966782783
249200,1.0,0.0,0.0,8.001,5.51,44.1,-1.923931242336538
249200,1.0,0.0,0.0,8.001,2.67,44.9,-2.282738796622115
249200,1.0,0.0,0.0,14.053,2.67,44.8,-2.128856901243186
249200,1.0,0.0,0.0,14.006,5.51,42.9,-1.7426363601579278
249200,1.0,0.0,0.0,14.006,7.983,43.0,-1.5004792267982157
249200,1.0,0.0,0.0,4.891,4.891,41.5,-1.4681057001733426
249200,1.0,0.0,0.0,7.997,7.997,44.8,-2.0495360589009315
249200,1.0,0.0,0.0,14.015,14.015,42.0,-1.5754966790060676
249200,1.0,0.0,0.0,4.908,2.67,66.5,-2.7339465454057894
249200,1.0,0.0,0.0,7.957,2.67,66.8,-2.616557860677544
249200,1.0,0.0,0.0,14.006,2.67,62.9,-2.4644496027984797
249200,1.0,0.0,0.0,5.296,5.296,95.1,-2.6877528610385353
249200,1.0,0.0,0.0,9.775,9.775,98.2,-2.263638583183846
249200,1.0,0.0,0.0,16.335,16.335,94.6,-1.7896475360249116
249200,1.0,0.0,0.0,24.628,24.628,103.1,-1.5230733659974238
249200,1.0,0.0,0.0,9.775,5.34,98.2,-2.525219608919305
249200,1.0,0.0,0.0,16.335,5.34,97.6,-2.3232897663557366
249200,1.0,0.0,0.0,26.611,5.34,102.3,-2.3124083546969887
249200,1.0,0.0,0.0,8.145,2.67,96.9,-2.936626439429647
62300,1.0,0.0,0.0,8.613,4.28,49.9,-2.0631422343083385
62300,1.0,0.0,0.0,8.665,4.28,43.0,-1.9334302089424744
62300,1.0,0.0,0.0,19.574,2.136,66.1,-2.2920507593090864
62300,1.0,0.0,0.0,19.574,0.0,72.2,-2.1777478952841247
62300,1.0,0.0,0.0,19.574,4.272,58.4,-1.9644019919692033
62300,1.0,0.25,0.25,19.574,4.272,68.5,-2.2938641074886013
62300,1.0,0.25,0.25,19.574,2.136,52.1,-2.3824678646416517
62300,1.0,-0.25,-0.25,19.574,2.136,49.7,-1.6144807874679623
62300,1.0,-0.25,-0.25,19.574,4.272,53.6,-1.6532962283341328
62300,1.0,0.0,0.0,19.574,6.46,55.9,-1.6403213841495532
62300,1.0,-0.25,-0.25,19.574,2.136,56.0,-1.7878385944848185
62300,1.0,0.25,0.25,19.574,6.46,51.4,-1.7902042589612484
434340,1.0,0.0,0.0,14.366,4.694,42.5,-1.8384811858754986
434340,1.0,0.0,0.0,22.14,22.14,25.9,-1.1611451005781706
434340,1.0,0.0,0.0,14.366,1.581,40.0,-2.364460496712133
434340,1.0,0.0,0.0,14.064,4.42,70.8,-2.3758242553624482
434340,1.0,0.0,0.0,14.112,4.42,75.9,-2.3333567516607996
434340,1.0,0.0,0.0,32.589,9.216,80.5,-1.9033505346365174
434340,1.0,0.0,0.0,22.803,22.831,60.4,-1.2730839420302804
466662,1.0,0.0,0.0,9.302,3.106,27.0,-1.6984715348044979
466662,1.0,-0.38,0.0,6.294,3.106,28.1,-1.6292049531748771
466662,1.0,-0.38,0.0,3.106,3.106,27.7,-1.6148677900284698
62300,1.0,0.0,0.0,8.25,4.125,27.9,-1.604075969292715
62300,1.0,-0.39,-0.39,4.29,2.145,24.9,-1.6400213358061806
62300,1.0,0.32,0.32,6.435,3.218,28.7,-2.0621699551711754
62300,1.0,0.0,0.0,4.72,0.0,25.9,-3.015226068234992
62300,1.0,0.0,0.0,4.72,0.0,23.1,-2.7211222826695627
62300,1.0,1.0,0.0,4.611,0.0,16.4,-2.6488613297118793
62300,1.0,1.0,0.0,4.633,0.0,17.7,-2.733802697204625
62300,1.0,1.9,0.0,4.633,0.0,20.2,-3.144944671740667
62300,1.0,3.0,0.0,4.633,0.0,20.4,-3.2386784521643803
62300,1.0,5.94,0.0,4.72,0.0,24.0,-3.775890831103566
62300,0.0,1.0,0.0,4.513,0.0,23.4,-1.6051735136476428
62300,0.0,1.0,0.0,4.477,0.0,20.4,-1.444837816732501
62300,1.0,0.0,0.0,9.797,0.0,38.4,-2.9751129863512555
62300,1.0,1.96,0.0,10.14,0.0,41.7,-3.3520646930845106
62300,1.0,3.01,0.0,9.878,0.0,41.1,-3.2972977866440036
62300,1.0,5.93,0.0,10.14,0.0,41.6,-3.537479807658568
62300,0.0,1.0,0.0,10.14,0.0,37.9,-1.2172532119938302
62300,1.0,0.0,0.0,8.844,0.0,25.3,-2.700176144671304
62300,1.0,1.01,0.0,9.042,0.0,20.0,-2.7488721956224653
62300,1.0,2.04,0.0,9.328,0.0,21.7,-2.733722556156337
62300,1.0,1.98,0.0,9.372,0.0,22.7,-2.703654589629172
62300,1.0,3.08,0.0,8.844,0.0,21.8,-2.7312530981818743
62300,1.0,6.09,0.0,9.526,0.0,17.6,-2.828678188890825
62300,0.0,1.0,0.0,9.108,0.0,20.6,-0.7237064831350732
62300,1.0,2.02,0.0,10.019,0.0,41.6,-3.322635059159053
62300,1.0,2.96,0.0,10.019,0.0,40.0,-3.2968373663379125
62300,1.0,5.78,0.0,10.019,0.0,43.4,-3.64824180838211
49872,1.0,0.06,0.06,2.666,2.666,28.0,-2.187981710255042
46404,1.0,0.06,0.06,2.666,2.666,28.0,-2.184802057337662
49872,1.0,0.06,0.06,2.666,2.666,28.0,-2.1911715056231422
46404,1.0,-0.08,-0.08,2.666,2.666,28.0,-2.1025639591006904
46404,1.0,0.06,0.06,2.767,2.767,28.0,-2.2436425573605954
49872,1.0,0.06,0.06,2.735,2.767,28.0,-2.392197251683733
49872,1.0,0.06,0.06,2.767,2.767,28.0,-2.2884004580020894
46416,1.0,0.13,0.13,4.087,4.087,31.0,-1.8325814637483102
46416,1.0,0.13,0.13,4.087,4.087,31.0,-1.812620721185772
46416,1.0,0.13,0.13,4.134,4.134,31.0,-2.055221109786047
46416,1.0,0.0,0.0,8.3,8.3,31.0,-1.4045240326115518
46404,1.0,0.0,0.0,9.14,9.14,30.0,-1.349641043471855
39468,1.0,-0.17,-0.17,18.399,18.399,30.0,-0.9399005975132888
39468,1.0,-0.17,-0.17,18.399,9.14,30.0,-1.1562414015047462
49920,1.0,0.0,0.0,18.399,9.14,45.0,-1.442982297416463
62230,1.0,-0.15,-0.15,7.062,7.062,19.0,-0.7339691750802004
62230,1.0,-0.15,-0.15,7.062,7.062,20.0,-0.8085580320712731
62244,1.0,-0.22,-0.22,7.062,7.062,21.0,-0.8428632633193379
60000,0.8,0.2,0.0,3.069,3.069,16.0,-0.6931471805599453
60000,0.8,0.2,0.0,3.069,3.069,16.0,-0.6807246605613883
60000,0.8,0.2,0.0,3.069,3.069,15.0,-0.7765287894989963
60000,0.8,0.2,0.0,3.069,3.069,17.0,-0.8591323180342064
60000,0.8,0.15,-0.05,3.069,3.069,19.0,-0.8043728156701697
60000,1.0,0.2,0.0,3.069,3.069,13.0,-0.5702490442367915
60000,1.0,0.0,0.0,4.356,4.356,16.0,-0.6684545679695739
60000,1.0,0.0,0.0,4.356,4.356,15.0,-0.666829872242572
60000,1.0,0.0,0.0,4.356,4.356,17.0,-0.6698903183956781
60000,1.0,-0.24,-0.24,18.275,18.275,26.0,-0.7916933597980415
60000,1.0,-0.38,-0.38,9.137,9.137,26.0,-0.6140516668951843
62300,1.0,0.0,0.0,15.438,2.034,71.7,-2.516358456020671
64970,1.0,-2.75,0.0,9.604,0.975,43.1,-2.1928259129920322
64970,1.0,-2.0,0.0,9.604,0.975,38.5,-2.1897203371780822
64970,1.0,-1.0,0.0,9.604,0.975,38.2,-2.476564578470605
64970,1.0,0.0,0.0,9.604,0.975,38.1,-2.473943344990731
64970,1.0,1.0,0.0,9.604,0.975,42.0,-2.625812102865238
64970,1.0,2.98,0.0,9.604,0.975,43.5,-2.8685427874547527
62300,1.0,0.0,0.0,8.25,4.125,25.1,-1.6234802695571393
62300,1.0,0.0,0.0,8.25,4.125,27.9,-1.604075969292715
62300,1.0,-0.39,-0.39,4.29,2.145,24.9,-1.6379530827421216
62300,1.0,0.32,0.32,6.435,3.218,28.7,-2.0621699551711754
161221,1.0,0.0,0.0,8.633,4.291,49.9,-2.0631422343083385
161938,1.0,-0.55,0.0,8.633,4.291,43.0,-1.9334302089424744
249200,1.0,0.0,0.0,5.664,1.869,40.1,-1.4809065302262836
249200,1.0,0.0,0.0,5.664,1.869,42.6,-1.1845998621385712
249200,1.0,0.0,0.0,5.664,1.869,41.9,-1.1266877047975419
36000,1.0,0.0,0.0,8.268,8.268,30.9,-1.3817738497085723
36000,1.0,0.0,0.0,9.199,9.199,30.4,-1.3437895727654192
36000,1.0,0.0,0.0,18.399,18.399,30.4,-0.9531458242633094
36000,1.0,0.0,0.0,18.399,18.399,30.4,-1.1694866282547667
36000,1.0,0.0,0.0,18.399,18.399,44.9,-1.440757602394352
40000,1.0,0.0,0.0,1.084,1.084,33.0,-1.970451257971431
40000,1.0,0.0,0.0,3.833,3.833,40.0,-2.557477342622836
48000,1.0,0.0,0.0,8.02,8.02,21.1,-1.0821606837761044
48000,1.0,0.0,0.0,5.895,5.895,21.6,-1.3752445249333056
48000,1.0,-0.17,-0.17,8.02,8.02,24.0,-1.4606587764087529
48000,1.0,-0.17,-0.17,8.02,8.02,23.3,-1.1954257437474776
48000,1.0,-0.05,-0.05,5.895,5.895,22.7,-1.4085669967290138
48000,1.0,0.0,0.0,8.02,8.02,31.1,-1.5919075830291036
48000,1.0,0.0,0.0,8.02,8.02,31.1,-1.7324597269467634
48000,1.0,0.0,0.0,8.02,8.02,31.1,-1.5247067322610048
48000,1.0,0.0,0.0,8.02,8.02,30.6,-1.588418545210025
48000,1.0,0.0,0.0,5.895,2.927,31.4,-2.16865569041402
48000,1.0,0.0,0.0,5.895,2.927,31.2,-2.1159991374136333
48000,1.0,-0.05,-0.05,8.02,4.251,23.0,-1.43621559949526
