Cement content,Water content,CA content,Sand content,GP content,GP-particle size,Slump
378.00 ,185.00 ,1048.00 ,185.25 ,555.75 ,700.00 ,110.14 
378.00 ,185.00 ,1048.00 ,0.00 ,741.00 ,700.00 ,100.46 
487.00 ,185.00 ,1048.00 ,649.00 ,0.00 ,0.00 ,95.25 
487.00 ,185.00 ,1048.00 ,486.75 ,162.25 ,700.00 ,105.28 
487.00 ,185.00 ,1048.00 ,324.50 ,324.50 ,700.00 ,115.32 
487.00 ,185.00 ,1048.00 ,162.25 ,486.75 ,700.00 ,110.25 
487.00 ,185.00 ,1048.00 ,0.00 ,649.00 ,700.00 ,105.18 
578.00 ,185.00 ,1048.00 ,572.00 ,0.00 ,0.00 ,95.35 
578.00 ,185.00 ,1048.00 ,429.00 ,143.00 ,700.00 ,120.34 
578.00 ,185.00 ,1048.00 ,286.00 ,286.00 ,700.00 ,100.00 
578.00 ,185.00 ,1048.00 ,143.00 ,429.00 ,700.00 ,110.20 
578.00 ,185.00 ,1048.00 ,0.00 ,572.00 ,700.00 ,115.30 
275.00 ,185.00 ,1290.00 ,670.00 ,0.00 ,0.00 ,90.00 
275.00 ,185.00 ,1290.00 ,569.50 ,100.50 ,800.00 ,90.00 
275.00 ,185.00 ,1290.00 ,536.00 ,134.00 ,800.00 ,85.00 
275.00 ,185.00 ,1290.00 ,469.00 ,201.00 ,800.00 ,85.00 
275.00 ,185.00 ,1290.00 ,335.00 ,335.00 ,800.00 ,80.00 
355.00 ,185.00 ,1300.00 ,625.00 ,0.00 ,0.00 ,75.00 
355.00 ,185.00 ,1300.00 ,531.25 ,93.75 ,800.00 ,75.00 
355.00 ,185.00 ,1300.00 ,500.00 ,125.00 ,800.00 ,70.00 
355.00 ,185.00 ,1300.00 ,437.50 ,187.50 ,800.00 ,70.00 
355.00 ,185.00 ,1300.00 ,312.50 ,312.50 ,800.00 ,65.00 
320.00 ,160.00 ,1020.94 ,782.26 ,0.00 ,0.00 ,127.00 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,152.00 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,140.00 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,95.00 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,140.00 
303.77 ,160.00 ,1020.94 ,782.26 ,16.23 ,8.40 ,127.00 
287.55 ,160.00 ,1020.94 ,782.26 ,31.70 ,8.40 ,83.00 
272.08 ,160.00 ,1020.94 ,782.26 ,47.92 ,8.40 ,133.00 
255.85 ,160.00 ,1020.94 ,782.26 ,64.15 ,8.40 ,83.00 
