SiO2,Al2O3,Fe2O3,CaO,FA_m,FA_d,Coarse_m,Fine_m,Coarse_d,Fine_d,SS_m,SH_m,Sup_plas_m,Total_water_m,Init_curing_time,Init_curing_temp,Init_curing_rest_time,Final_curing_temp,CS28
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.671952862,2.6303367,103,41,8.2,91.237,1,45,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.21906137,1294,554,2.63734348,2.615744724,103,41,8.2,91.237,1,75,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.629468789,2.622841468,103,41,8.2,91.237,1,90,1.449032254,24,36.77393813
53.36,26.49,10.86,1.34,408,2.206174266,1294,554,2.662108256,2.614828074,103,41,8.2,101.837,1,30,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.228010525,1294,554,2.655013798,2.623194868,103,41,8.2,101.837,1,45,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.213531221,1294,554,2.656222904,2.62370465,103,41,8.2,101.837,1,60,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.213540639,1294,554,2.656190753,2.623691094,103,41,8.2,101.837,1,75,1.268236915,24,36.77393813
53.36,26.49,10.86,1.34,408,2.208923611,1294,554,2.629513924,2.622849431,103,41,8.2,101.837,1,90,1.448840177,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,2.535744179,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,89.117,1,60,2.535744179,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,93.337,1,60,1.133924314,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,93.337,1,60,1.133924314,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.957,1,60,1.134139402,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,96.957,1,60,1.134139402,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,99.977,1,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,99.977,1,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,102.497,1,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,102.497,1,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1309,561,2.671952862,2.6303367,88,35,8.2,86.012,1,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1309,561,2.671952862,2.6303367,88,35,8.2,90.212,1,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1309,561,2.671952862,2.6303367,88,35,8.2,94.312,1,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1309,561,2.671952862,2.6303367,103,51,6.1,104.377,1,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,1,60,1.268236915,24,60
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.166666667,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.333333333,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,0.5,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,2,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,3,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,0,99.72,4,60,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,4.1,102.18,1,60,1.127285529,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,60,0.32807411,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,8.2,104.64,1,60,1.130287032,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,10.2,105.84,1,60,0.554277055,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,12.2,107.04,1,60,0.556919406,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,14.3,108.3,1,60,0.591411959,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,4.1,102.18,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,8.2,104.64,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,10.2,105.84,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,12.2,107.04,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,14.3,108.3,1,60,0.041666667,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,30,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,45,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,60,0.32807411,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,75,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,0.25,45,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,0.25,60,0.57950218,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,0.25,75,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,0.25,90,1.268236915,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,60,0.04,24,36.77393813
47.8,24.4,17.4,2.42,476,2.208923611,1294,554,2.671952862,2.6303367,120,48,6.1,103.38,1,60,0.32807411,24,36.77393813
48,29,12.7,1.76,404,2.208923611,1190,640,2.671952862,2.6303367,102,41,6,95.658,1,60,1.201717304,24,36.77393813
48,29,12.7,1.76,404,2.208923611,1190,640,2.671952862,2.6303367,102,41,6,95.158,1,60,1.201716366,24,36.77393813
47.8,24.4,17.4,2.42,408,2.208923611,1202,647,2.671952862,2.6303367,103,41,6,101.937,1,60,1.268236915,24,36.77393813
50.3,26.3,13.6,2.27,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,78.8856,1,60,1.268236915,24,34.86
50.3,26.3,13.6,2.27,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,78.8856,1,60,1.268236915,24,41.36
50.3,26.3,13.6,2.27,408,2.208923611,1201,647,2.671952862,2.6303367,103,41,6.1,78.8856,1,60,1.268236915,24,67.53
50.3,26.3,13.6,2.27,444,2.321575844,1140,630,2.677226488,2.629019602,111,44,6.1,78.8856,1,60,1.268236915,24,48.06
50.3,26.3,13.6,2.27,356,1.937563244,1248,672,2.709983135,2.632487351,89,36,6.1,84.6472,1,60,1.268236915,24,25.44
50.3,26.3,13.6,2.27,424,2.208923611,1201,647,2.671952862,2.6303367,91,36,6.1,68.9128,1,60,1.268236915,24,36.13
50.3,26.3,13.6,2.27,381,2.208923611,1201,647,2.671952862,2.6303367,122,49,6.1,78.8856,1,60,1.268236915,24,35.51
50.3,26.3,13.6,2.27,408,2.214184367,1292,554,2.653993122,2.622764531,103,41,6.1,70.0232,1,60,1.268236915,24,36
49.45,29.61,10.72,3.47,476,2.268817408,1039,784,2.618798915,2.607925981,90,95,0,147.31,1.020040373,25,1.268236915,24,44.4
49.45,29.61,10.72,3.47,467,2.272681275,1039,784,2.615369848,2.606480222,119,75,0,149.521,1.016384855,25,1.268236915,24,53.3
49.45,29.61,10.72,3.47,461,2.266963187,1039,784,2.62044448,2.608619783,147,56,0,151.773,1.02179461,25,1.268236915,24,56.9
61.18,25,6.47,1.34,400,2.4,1056,704,2.64,2.43,171.42,68.57,6,143.171364,1,60,0.041666667,24,27.02
61.18,25,6.47,1.34,400,2.4,1056,704,2.64,2.43,171.42,68.57,6,137.685764,1,60,0.041666667,24,29.33
61.18,25,6.47,1.34,400,2.4,1056,704,2.64,2.43,171.42,68.57,6,132.200164,1,60,0.041666667,24,31
61.18,25,6.47,1.34,400,2.4,1056,704,2.64,2.43,171.42,68.57,6,126.714564,1,60,0.041666667,24,32.2
51.3,30.1,4.57,8.73,400,2.207655776,950,850,2.66,2.61,143,57,28,174.9633,1,70,1.268236915,24,48.53
51.3,30.1,4.57,8.73,400,2.207782726,950,850,2.66,2.61,143,57,28,174.9633,2,70,1.268236915,24,53.8
51.3,30.1,4.57,8.73,400,2.20724409,950,850,2.66,2.61,143,57,28,174.9633,3,70,1.268236915,24,53.92
51.3,30.1,4.57,8.73,400,2.207079292,950,850,2.66,2.61,143,57,28,174.9633,4,70,1.268236915,24,53.99
51.3,30.1,4.57,8.73,400,2.207139994,950,850,2.66,2.61,143,57,28,174.9633,2,60,1.268236915,24,47.54
51.3,30.1,4.57,8.73,400,2.207782726,950,850,2.66,2.61,143,57,28,174.9633,2,70,1.268236915,24,53.8
51.3,30.1,4.57,8.73,400,2.207138218,950,850,2.66,2.61,143,57,28,174.9633,2,80,1.268236915,24,50.77
51.3,30.1,4.57,8.73,400,2.206940474,950,850,2.66,2.61,143,57,28,174.9633,2,90,1.268236915,24,50.42
50.5,26.57,13.77,2.13,408,2.2,1201,647,2.64,2.58,103,41,6.1,105.077,1.048620404,24,1.268236915,24.39957901,34.5542
50.5,26.57,13.77,2.13,408,2.2,1201,647,2.64,2.58,103,41,6.1,99.977,1.045544035,24,1.268236915,24.3649533,40.7422
50.5,26.57,13.77,2.13,408,2.2,1201,647,2.64,2.58,103,41,6.1,95.777,1.046089485,24,1.268236915,24.40405981,67.0404
50.5,26.57,13.77,2.13,444,2.2,1170,630,2.64,2.58,111,44,6.1,110.869,1.060103453,24,1.268236915,24.84584148,48.3311
50.5,26.57,13.77,2.13,356,2.2,1248,672,2.64,2.58,89,36,6.1,95.051,1.034383543,24,1.268236915,24.248558,25.3058
50.5,26.57,13.77,2.13,424,2.2,1201,647,2.64,2.58,91,36,6.1,96.169,1.054389373,24,1.268236915,24.48105067,33.5013
50.5,26.57,13.77,2.13,381,2.2,1201,647,2.64,2.58,122,49,6.1,119.218,1.057536818,24,1.268236915,24.60174884,35.3868
50.5,26.57,13.77,2.13,408,2.2,1292,554,2.64,2.58,103,41,6.1,105.077,1.021504141,24,1.268236915,24.03622745,36.0122
50.5,26.57,13.77,2.13,408,2.2,1294,554,2.64,2.58,103,41,6.1,105.077,1.021075533,24,1.268236915,24.03579812,34.5727
59.7,28.36,4.57,2.1,420.57,1.9,1273.07,318.27,2.72,2.64,165.2214286,66.08857143,8.41,125.8063421,1,100,1.193334545,24,36.77393813
59.7,28.36,4.57,2.1,420.57,1.9,1195.69,394.58,2.72,2.64,165.2214286,66.08857143,8.41,125.8063421,1,100,1.20269442,24,36.77393813
59.7,28.36,4.57,2.1,420.57,1.9,1112.14,476.66,2.72,2.64,165.2214286,66.08857143,8.41,125.8063421,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,420.57,1.9,1031.99,555.73,2.72,2.64,165.2214286,66.08857143,8.41,125.8063421,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,420.57,1.9,948.62,632.73,2.72,2.64,165.2214286,66.08857143,8.41,125.8063421,1,100,0.475873098,24,36.77393813
59.7,28.36,4.57,2.1,365.16,1.9,1379.16,344.79,2.72,2.64,150.6,60.24,7.3,114.45354,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,365.16,1.9,1295.34,427.46,2.72,2.64,150.6,60.24,7.3,114.45354,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,365.16,1.9,1204.82,516.38,2.72,2.64,150.6,60.24,7.3,114.45354,1,100,1,24,36.77393813
59.7,28.36,4.57,2.1,365.16,1.9,1117.99,602.04,2.72,2.64,150.6,60.24,7.3,114.45354,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,365.16,1.9,1027.67,685.46,2.72,2.64,150.6,60.24,7.3,114.45354,1,100,0.385368599,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1485.25,371.31,2.72,2.64,121.7214286,48.68857143,6.2,92.68619214,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1394.98,460.34,2.72,2.64,121.7214286,48.68857143,6.2,92.68619214,1,100,1.211634083,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1297.5,556.11,2.72,2.64,121.7214286,48.68857143,6.2,92.68619214,1,100,1.104642362,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1203.99,648.35,2.72,2.64,121.7214286,48.68857143,6.2,92.68619214,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1106.72,738.18,2.72,2.64,121.7214286,48.68857143,6.2,92.68619214,1,100,1.161248953,24,36.77393813
59.7,28.36,4.57,2.1,254.54,1.9,1591.34,397.83,2.72,2.64,99.99285714,39.99714286,5.1,76.14477929,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,254.54,1.9,1494.62,493.22,2.72,2.64,99.99285714,39.99714286,5.1,76.14477929,1,100,1.206003207,24,36.77393813
59.7,28.36,4.57,2.1,254.54,1.9,1390.18,595.83,2.72,2.64,99.99285714,39.99714286,5.1,76.14477929,1,100,1,24,36.77393813
59.7,28.36,4.57,2.1,254.54,1.9,1289.99,694.66,2.72,2.64,99.99285714,39.99714286,5.1,76.14477929,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,254.54,1.9,1185.77,790.91,2.72,2.64,99.99285714,39.99714286,5.1,76.14477929,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,329.56,1.9,1203.99,648.35,2.72,2.64,82.5,32.99,6.6,64.25325,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,321.41,1.9,1203.99,648.35,2.72,2.64,80.35,32.14,6.43,62.585815,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,313.53,1.9,1203.99,648.35,2.72,2.64,78.22,31.28,6.27,60.928198,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,304.32,1.9,1203.99,648.35,2.72,2.64,76.07,30.4,6.09,59.236763,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,297.75,1.9,1203.99,648.35,2.72,2.64,74.44,29.77,5.95,57.974596,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,322.03,1.9,1203.99,648.35,2.72,2.64,103.51,41.4,6.44,79.517059,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,313.56,1.9,1203.99,648.35,2.72,2.64,100.79,40.31,6.27,77.425811,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,305.08,1.9,1203.99,648.35,2.72,2.64,98.07,39.22,6.1,75.334563,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,296.6,1.9,1203.99,648.35,2.72,2.64,95.34,38.13,5.93,73.238406,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,289.95,1.9,1203.99,648.35,2.72,2.64,93.2,37.28,5.8,71.59988,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,314.11,1.9,1203.99,648.35,2.72,2.64,123.4,49.36,6.28,93.96106,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,305.59,1.9,1203.99,648.35,2.72,2.64,120.05,48.02,6.11,91.410545,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,297.62,1.9,1203.99,648.35,2.72,2.64,116.92,46.77,5.95,89.028028,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,289.77,1.9,1203.99,648.35,2.72,2.64,113.84,45.52,5.79,86.670056,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,282.48,1.9,1203.99,648.35,2.72,2.64,110.97,44.39,5.65,84.499173,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,135.89,41.45,5.85,95.088401,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,135.89,49.03,5.85,99.636401,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,290.37,1.9,1203.99,648.35,2.72,2.64,134.81,53.93,5.81,102.022229,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,282.48,1.9,1203.99,648.35,2.72,2.64,131.14,52.46,5.65,99.242626,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,275.42,1.9,1203.99,648.35,2.72,2.64,127.87,51.15,5.51,96.767383,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,329.56,1.9,1203.99,648.35,2.72,2.64,69.21,46.14,6.59,65.613189,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,327.33,1.9,1203.99,648.35,2.72,2.64,76.37333333,38.18666667,6.55,64.33366933,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,325.75,1.9,1203.99,648.35,2.72,2.64,81.43571429,32.57428571,6.51,63.42736357,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,324.7,1.9,1203.99,648.35,2.72,2.64,85.2375,28.4125,6.49,62.78458875,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,323.78,1.9,1203.99,648.35,2.72,2.64,88.13777778,25.18222222,6.47,62.25816844,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,322.28,1.9,1203.99,648.35,2.72,2.64,87.018,58.012,6.45,81.3943362,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,319.49,1.9,1203.99,648.35,2.72,2.64,95.84666667,47.92333333,6.39,79.63912867,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,317.67,1.9,1203.99,648.35,2.72,2.64,102.1071429,40.84285714,6.35,78.44011071,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,316.22,1.9,1203.99,648.35,2.72,2.64,106.725,35.575,6.32,77.5283025,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,315.13,1.9,1203.99,648.35,2.72,2.64,110.2966667,31.51333333,6.3,76.83263367,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,314.11,1.9,1203.99,648.35,2.72,2.64,103.656,69.104,6.28,96.1151304,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,312.1,1.9,1203.99,648.35,2.72,2.64,114.4333333,57.21666667,6.24,94.24932333,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,309.85,1.9,1203.99,648.35,2.72,2.64,121.7214286,48.68857143,6.19,92.68019214,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,308.17,1.9,1203.99,648.35,2.72,2.64,127.1175,42.3725,6.16,91.52148075,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,306.83,1.9,1203.99,648.35,2.72,2.64,131.2577778,37.50222222,6.14,90.61977644,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,114.138,76.092,5.85,105.1955442,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,126.82,63.41,5.85,103.811938,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,135.8785714,54.35142857,5.85,102.8236479,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,142.6725,47.5575,5.85,102.0824303,1,100,1.268236915,24,36.77393813
59.7,28.36,4.57,2.1,292.67,1.9,1203.99,648.35,2.72,2.64,147.9566667,42.27333333,5.85,101.5059277,1,100,1.268236915,24,36.77393813
